Nro,Question,CorrectAnswer,False1,False2,False3
1,What Planet is closest to the sun?,Mercury,Earth,Jupiter,
2,Pluto is No Longer a Planet,Correct,Untrue,,
3,Which is The Largest planet,TReS-4,Jupiter,Sedna,Vesta
4,What is the biggest Measurement (distance) used for measuring galaxies,Micrometers,Kilometers,Micrometers,
5,Virgo A' is the biggest galaxy.,It's false,It's true,,
6,When is an average star created?,In the second stage.,In the first stage.,During the Red Shift.,When a black hole forms.
7,What is a Nova? ,A nuclear explosion caused by a growth of hydrogen onto the surface of a white dwarf star.,"A highly magnetic, rotating star that releases a beam of radiation.",A star-like object that may send out radio waves and other forms of energy.,It is a SUPERnova.
8,What is a Quasar? ,A star-like object that may send out radio waves and other forms of energy.,A very big collection of matter.,Where a star is born.,It is a red giant.
9,What is a Star? ," very big collection of matter,mostly gas compressed to incredible pressure and heat by gravity.",A cloud of particles held together loosely by their own collective gravity.,A nuclear explosion caused by a growth of hydrogen onto the surface of a white dwarf star.,A ball of gas.
10,What is the red shift? ,Galaxies and stars are moving away from us. (The universe is expanding),When a star collapses.,A very luminous burst of radiation.,When the sun collapses.
11,What is a Pulsar? ,"A highly magnetic, rotating star that releases a beam of radiation.",A star-like object that may send out radio waves and other forms of energy.,A big collection of matter.,The same as a Quasar.
12,"Why is a black hole called ""black""? ","Because it absorbs all the light that hits it, reflecting nothing.",Because there is too much radiation .,Because outer space is dark.,Because it is black and it is a hole.
13,What is a White Dwarf Star?,A faint star of enormous density.,A very small star.,A region of space resulting from the collapse of a star.,A very tiny star.
14,What is the fourth stage in the life cycle of an average star? ,Planetary Nebula.,Red giant.,Stellar Nebula.,Pulsar.
15,Edwin Hubble discovered that distant objects in space are,Moving farther away from each other,Much closer to Earth than once imagined,Unchanging,Extensions of the Milky Way Galaxy
16,Which of the following types of the telescope does not detect invisible radiation? ,A refracting telescope,A radio telescope,A gamma-ray telescope,An X ray telescope
17,"The discovery of ""ripples"" in space may provide evidence for ",The first stages in the formation of the universe's first galaxies,Blue-shift movement from galaxies,Cosmic background radiation,Known matter
18,Astronomy is the study of... ,The universe,The stars and planets,The constellations,The night sky
19,"According to the big bang timeline in your textbook, as the universe began to expand, ",Temperatures dropped,Galaxies formed relatively quickly,Temperatures rose,Gravity caused the universe to collapse gain
20,"The study of the origin, structure, and future of the universe is called",Cosmology,Astronomy,Philosophy,Expansion theory
